title,status,translatorID,label,creator,target,minVersion,maxVersion,priority,inRepository,translatorType,browserSupport,lastUpdated,url1,globalRank,country,countryRank,url2,url3
A Contra Corriente.js,Normal,bbf1617b-d836-4665-9aae-45f223264460,A Contra Corriente,Sebastian Karcher,^https?://acontracorriente\.chass\.ncsu\.edu/index\.php/acontracorriente/,2.1,,100,TRUE,4,gcsibv,8/18/2016 20:51,https://www.facebook.com/acontrafilms,3,United States,4,https://twitter.com/acontrafilms,tools.chass.ncsu.edu/open_journal/index.php/acontracorriente/index
ACLAnthology.js,Normal,9b2f2d29-02e3-4693-b728-4cd435650669,ACLAnthology,Guy Aglionby,^https://aclanthology(\.coli\.uni\-saarland\.de|\.info)/(events|papers|volumes)/[^#]+,3,,100,TRUE,4,gcsibv,9/7/2018 18:10,www.aclweb.org/anthology,39269,China,9779,aclweb.org/anthology/P/P17,https://github.com/acl-org/acl-anthology
ACLWeb.js,Normal,f4a5876a-3e53-40e2-9032-d99a30d7a6fc,ACLWeb,"Nathan Schneider, Guy Aglionby",^https?://(www\.)?aclweb\.org/anthology/[^#]+,3,,100,TRUE,4,gcsibv,3/24/2018 9:47,https://www.aclweb.org/portal,39269,China,9779,https://updates.easycounter.com/aclweb.org,https://www.keyword-suggest-tool.com/search/aclweb.org
ACM Digital Library.js,Normal,f3f092bf-ae09-4be6-8855-a22ddd817925,ACM Digital Library,"Simon Kornblith, Michael Berkowitz, John McCaffery, and Sebastian Karcher",^https?://([^/]+\.)?dl\.acm\.org/(results|citation|author_page|ccs/ccs)\.cfm,3,,100,TRUE,4,gcsibv,1/16/2018 21:49,https://dl.acm.org,3178,China,1143,https://www.acm.org,https://www.microsoft.com/en-us/p/acm-digital-library/9nblggh0f7h0
ACS Publications.js,Normal,938ebe32-2b2e-4349-a5b3-b3a05d3de627,ACS Publications,"Sean Takats, Michael Berkowitz, Santawort, and Aurimas Vinckevicius",^https?://pubs\.acs\.org/(toc/|journal/|topic/|isbn/\d|doi/(full/|abs/)?10\.|action/doSearch\?),4.0.5,,100,TRUE,4,gcsibv,1/1/2017 14:51,https://pubs.acs.org,1121,China,338,https://helpfaqs.acs.org/category/acs-publications-website,https://helpfaqs.acs.org/category/acs-publications-website/page/2
AEA Web.js,Normal,6044b16f-2452-4ce8-ad02-fab69ef04f13,AEA Web,Sebatian Karcher,^https?://www\.aeaweb\.org/(articles|journals|issues),3,,100,TRUE,4,gcsibv,8/27/2016 10:23,https://Web.com/WebsiteBuilder,27718,United States,8625,https://www.aeaweb.org,https://myaea.org
AIP.js,Normal,48d3b115-7e09-4134-ad5d-0beda6296761,AIP,Aurimas Vinckevicius,^https?://scitation\.aip\.org/(search\?|content/),3,,100,TRUE,4,gcsibv,10/17/2015 17:37,https://www.aip.org,65181,China,19858,https://aiplifestyle.com,www.goaip.com
AMS Journals.js,Normal,bdaac15c-b0ee-453f-9f1d-f35d00c7a994,AMS Journals,Michael Berkowitz,^https?://www\.ams\.org/journals/,3,,100,TRUE,4,gcsibv,9/3/2016 20:50,https://journals.ametsoc.org,25913,China,5121,www.ams.org/journals,https://www.ams.org/publications/journals/journalsframework/aboutjams
AMS MathSciNet.js,Normal,a354331-981b-43de-a61-bc26dd1be3a9,AMS MathSciNet,Simon Kornblith,^https?://(mathscinet\.)?ams\.[^/]*/mathscinet(\-getitem\?|/search/(publications\.html|publdoc\.html)),3,,100,TRUE,4,gcsibv,10/20/2017 16:08,www.ams.org/mathscinet,21007,China,4912,https://www.easycounter.com/report/mathscinet.ams.org,https://www.lib.umich.edu/database/mathscinet-ams
APA PsycNET.js,Normal,1e1e35be-6264-45a0-ad2e-7212040eb984,APA PsycNET,Philipp Zumstein,^https?://psycnet\.apa\.org/,3,,100,TRUE,4,gcsibv,5/8/2018 19:12,www.apa.org???€? Publications & Databases???€? APA Databases,,,,psycnet.apa.org/search,www.apa.org???€? Publications & Databases???€? APA Databases
